ID;Q_mean;slope_hfd;bfi;hfd_mean;Q5;Q95;high_q_freq;high_q_dur;low_q_freq;low_q_dur;zero_q_freq
2997500;0.10;nan;0.36;18.88;0.00;0.57;96.90;328.70;251.80;101.80;0.66
6976800;1.25;3.01;0.47;232.42;0.19;5.56;19.56;12.67;82.78;69.22;0.00
2903087;1.01;8.15;0.46;186.61;0.02;4.19;93.06;37.78;189.00;124.67;0.00
2906201;0.24;7.51;0.57;43.44;0.00;0.87;8.98;2.90;158.40;110.71;0.00
2919100;0.09;1.63;0.56;16.78;0.02;0.32;16.68;16.20;11.05;7.72;0.00
2998720;0.47;10.86;0.41;86.20;0.00;2.44;124.28;99.72;219.41;142.62;0.00
2902850;1.56;1.95;0.74;286.64;0.69;3.87;0.05;0.05;0.00;0.00;0.00
6972250;0.75;2.31;0.57;138.50;0.20;2.46;3.80;4.00;0.30;0.30;0.00
2910606;0.66;4.04;0.67;120.65;0.11;1.88;0.39;0.13;51.82;37.45;0.00
6970705;1.45;3.28;0.49;266.96;0.20;6.26;21.50;10.10;77.40;56.90;0.00
6970100;0.70;2.43;0.58;128.12;0.16;2.69;9.80;9.10;12.35;11.62;0.00
6976300;0.35;2.10;0.53;65.94;0.16;0.97;8.50;6.80;15.00;4.80;0.04
2999250;0.71;2.75;0.58;131.84;0.12;3.19;19.70;19.59;49.44;39.04;0.00
2910450;0.46;3.47;0.58;84.50;0.06;1.58;7.00;2.90;36.70;28.50;0.00
